neid,filename,filesize,status,date
1123884222,1、《六味新包装》丸剂宣传录像.<mark>mpg</mark>,67.3 MB,转码完成,2021-01-15 21:07:009
1129439616,001、《六味新包装》丸剂宣传录像.<mark>mpg</mark>,67.3 MB,转码完成,2021-01-15 21:07:009
2309454985,三元听装线视频20170118.<mark>mpg</mark>,1.0 GB,转码完成,2021-01-15 21:07:010
2519720095,纵封加热管-1.<mark>mpg</mark>,652.8 MB,转码完成,2021-01-15 21:07:010
1206506724,AlbroTheta 奶粉罐装机 高速录像.<mark>mpg</mark>,108.8 MB,转码完成,2021-01-15 21:07:010
1170987531,03罐口检测.<mark>mpg</mark>,10.5 MB,转码完成,2021-01-15 21:07:010
1170972741,明一-听装线现场.<mark>mpg</mark>,237.0 MB,转码完成,2021-01-15 21:07:010
1203599289,inever-AGV小车MOV02525.<mark>mpg</mark>,9.5 MB,转码完成,2021-01-15 21:07:010
1129039770,015、武汉健民-12列计量盒整线.<mark>mpg</mark>,250.7 MB,转码完成,2021-01-15 21:07:010
1203599343,inever-厂房MOV02529.<mark>mpg</mark>,9.1 MB,转码完成,2021-01-15 21:07:010
1121599950,4 自动装托盘视频（成都康华）.<mark>mpg</mark>,57.4 MB,转码完成,2021-01-15 21:07:010
1203599397,inever-码垛MOV02520.<mark>mpg</mark>,12.5 MB,转码完成,2021-01-15 21:07:010
1203574761,005、aranow-粉剂-6列机.<mark>mpg</mark>,32.4 MB,转码完成,2021-01-15 21:07:010
1170985104,2、NEW MILK 听装线及stick.<mark>mpg</mark>,208.6 MB,转码完成,2021-01-15 21:07:010
1206127353,OYSTAR-高速装盒-高露洁牙膏.<mark>mpg</mark>,144.6 MB,转码完成,2021-01-15 21:07:010
1203604707,MediSeal-LA600S.<mark>mpg</mark>,194.3 MB,转码完成,2021-01-15 21:07:010
1170986652,压圆帽盖机录像160907.<mark>mpg</mark>,107.8 MB,转码完成,2021-01-15 21:07:010
1170978531,新西兰惠氏听装线视频.<mark>mpg</mark>,164.7 MB,转码完成,2021-01-15 21:07:010
1170985059,3、New Milk听装整线.<mark>mpg</mark>,164.7 MB,转码完成,2021-01-15 21:07:010
1206816525,PLF-听装线-方型塑罐灌装.<mark>mpg</mark>,4.9 MB,转码完成,2021-01-15 21:07:010
1206816585,PLF-听装线-自动充填机.<mark>mpg</mark>,108.8 MB,转码完成,2021-01-15 21:07:010
1206092046,dakin装盒机视频2.<mark>mpg</mark>,62.9 MB,转码完成,2021-01-15 21:07:010
1129110891,002、先声-10列螺杆整线.<mark>mpg</mark>,213.8 MB,转码完成,2021-01-15 21:07:010
1206757059,indosa-听装线-封罐机.<mark>mpg</mark>,365.5 MB,转码完成,2021-01-15 21:07:010
1203574932,008、Aranow + Cartoner.<mark>mpg</mark>,27.0 MB,转码完成,2021-01-15 21:07:010
1206768129,indosa-听装线-青岛圣元-整线.<mark>mpg</mark>,263.2 MB,转码完成,2021-01-15 21:07:010
1129379454,005、提升转向机（以岭项目）.<mark>mpg</mark>,133.8 MB,转码完成,2021-01-15 21:07:010
1203604818,MediSeal-LA600SP.<mark>mpg</mark>,126.3 MB,转码完成,2021-01-15 21:07:010
1129376361,004、自动装托盘视频（成都康华）.<mark>mpg</mark>,57.4 MB,转码完成,2021-01-15 21:07:010
1170987519,02翻罐吹扫机.<mark>mpg</mark>,15.9 MB,转码完成,2021-01-15 21:07:010
1206135957,2005_Samyuk Dairy Retort Case Packing System.<mark>mpg</mark>,56.8 MB,转码完成,2021-01-15 21:07:010
1207357701,CURIT-C 11 .<mark>mpg</mark>,90.8 MB,转码完成,2021-01-15 21:07:010
1170985650,TATURA听装线运行录像（临时）.<mark>mpg</mark>,94.0 MB,转码完成,2021-01-15 21:07:010
1129095024,004、济川-9列计量盒整线.<mark>mpg</mark>,220.0 MB,转码完成,2021-01-15 21:07:010
